Components,Accuracy,F1-Score,Explained Variance
10,0.3683794466403162,0.35310600659558533,0.7416294294890488
20,0.4036890645586298,0.3988883281534683,0.8725688187466183
30,0.4160737812911726,0.414912188077799,0.9275840760643367
50,0.4345191040843215,0.43583787556156695,0.9812049415663735
70,0.4366271409749671,0.4389097811836568,0.997212094840695
100,0.43820816864295126,0.44008907373639183,1.0
